event_id,event_type,event_name,event_level,start_date,end_date,publish_date,source_org,source_title,source_url,source_text,is_predicted,prediction_confidence,status,tags,note
98cb354aacb69a2e,TWO_SESSIONS,2005年全国政协会议,national,2005-03-03,2005-03-12,2005-03-03,中国政府网,2005年全国政协会议官方报道,http://www.gov.cn/ldhd/2005-03/12/content_13691.htm,2005年全国政协会议于2005-03-03开幕，2005-03-12闭幕。本库仅保留年度大会的时间窗口、官方来源和宏观事件摘要，不采集大会期间全体会议、主席团会议、代表团会议等过程性信息。,false,1.0,confirmed,全国政协;两会;2005,放入review（原始链接地址仅为示意，需根据实际官网地址补充）
4b6293ab907285d5,TWO_SESSIONS,2005年全国人大会议,national,2005-03-05,2005-03-14,2005-03-05,中国机构编制网,2005年全国人大会议官方报道,https://www.scopsr.gov.cn/zlzx/rdh/rdh1_4049/rdh13/201811/t20181121_353276.html,2005年全国人大会议于2005-03-05开幕，2005-03-14闭幕。本库仅保留年度大会的时间窗口、官方来源和宏观事件摘要，不采集大会期间全体会议、主席团会议、代表团会议等过程性信息。,false,1.0,confirmed,全国人大;两会;2005,已核对官方日程
5ffe1d02b8e40c89,CPC_PLENUM,十六届五中全会,national,2005-10-08,2005-10-11,2005-10-11,新华社,十六届五中全会公报,https://www.gov.cn/test/2008-06/25/content_1026934.htm,十六届五中全会于2005-10-08至2005-10-11召开，会议主题包括：十一五规划建议。本库对中央全会按“届次+次数”保留为单条宏观政治事件。,false,1.0,confirmed,中央全会;十六届五中全会;十一五规划建议,中央全会标准化重建：每次全会只保留一条事件。
fd7f1406f1bfcfbd,CEWC,中央经济工作会议,national,2005-11-29,2005-12-01,2005-12-02,新华网,中央经济工作会议召开 胡锦涛温家宝作重要讲话,http://www.xinhuanet.com/politics/2005-12/02/content_3867248.htm,会议提出，要稳定宏观经济政策，保持经济平稳较快增长；扎实推进社会主义新农村建设；全面增强自主创新能力。,false,1.0,confirmed,稳中求进;新农村建设;自主创新;2005,
6bb99481ba318866,POLITBURO_MEETING,中共中央政治局会议（分析研究2006年经济工作）,national,2005-12-01,2005-12-01,2005-12-01,新华网,中共中央政治局召开会议分析研究2006年经济工作,http://www.xinhuanet.com/politics/2005-12/01/content_3871916.htm,会议决定，保持经济平稳较快增长的良好势头；扎实推进社会主义新农村建设。,false,1.0,confirmed,12月政治局会议;经济工作;2005,
c98f92c615ae79f4,TWO_SESSIONS,2006年全国政协会议,national,2006-03-03,2006-03-13,2006-03-03,新华社,2006年全国政协会议官方报道,,2006年全国政协会议于2006-03-03开幕，2006-03-13闭幕。本库仅保留年度大会的时间窗口、官方来源和宏观事件摘要，不采集大会期间全体会议、主席团会议、代表团会议等过程性信息。,false,1.0,review,全国政协;两会;2006,请补新华社/新华网/中国政协网/中国政府网/人民网链接，替换新浪链接
e878de741e63032b,CPC_PLENUM,十六届六中全会,national,2006-10-08,2006-10-11,2006-10-11,人民网,十六届六中全会公报,http://cpc.people.com.cn/GB/64162/64168/64569/77579/6491207.html,十六届六中全会于2006-10-08至2006-10-11召开，会议主题包括：构建社会主义和谐社会。本库对中央全会按“届次+次数”保留为单条宏观政治事件。,false,1.0,confirmed,中央全会;十六届六中全会;构建社会主义和谐社会,中央全会标准化重建：每次全会只保留一条事件。
d2fa4cee3aaffd39,POLITBURO_MEETING,中共中央政治局会议（分析研究2007年经济工作）,national,2006-11-30,2006-11-30,2006-11-30,新华网,中共中央政治局召开会议分析研究2007年经济工作,http://www.xinhuanet.com/politics/2006-11/30/content_5410189.htm,会议提出，坚持加强和改善宏观调控；坚持以发展农村经济为重点；坚持提高自主创新能力。,false,1.0,confirmed,12月政治局会议;经济工作;2006,
40d46f069afe8b42,CEWC,中央经济工作会议,national,2006-12-05,2006-12-07,2006-12-08,新华网,中央经济工作会议召开 胡锦涛温家宝作重要讲话,http://www.xinhuanet.com/politics/2006-12/08/content_5456892.htm,会议提出，推动经济社会发展切实转入科学发展的轨道；坚持加强和改善宏观调控；坚持以节约能源资源和保护生态环境为切入点。,false,1.0,confirmed,科学发展观;宏观调控;节能环保;2006,
b612cfeaa6be6f9a,TWO_SESSIONS,2007年全国政协会议,national,2007-03-03,2007-03-15,2007-03-03,新华社,2007年全国政协会议官方报道,,2007年全国政协会议于2007-03-03开幕，2007-03-15闭幕。本库仅保留年度大会的时间窗口、官方来源和宏观事件摘要，不采集大会期间全体会议、主席团会议、代表团会议等过程性信息。,false,1.0,review,全国政协;两会;2007,请补新华社/新华网/中国政协网/中国政府网/人民网链接，替换新浪链接
